第11页: ('http://img3m3.ddimg.cn/65/12/25306643-1_b_2.jpg', ' 时光行者的你（人气言情作家木浮生全新治愈之作，镌刻一段相遇在时光里的破冰之爱！）', '18.00')
第5页: ('http://img3m3.ddimg.cn/44/8/28989323-1_b_3.jpg', ' 昏黄（爱得发狂，是为昏黄。人气作家这碗粥热烈浪漫之作！当红流量小生×实力女吉他手！随书附赠“火”音乐会门票。）', '19.90')
第11页: ('http://img3m1.ddimg.cn/39/28/29165241-1_b_3.jpg', ' 向你而生（共2册）', '32.50')
第5页: ('http://img3m6.ddimg.cn/48/1/25073976-1_b_9.jpg', ' 顾念的奇缘（全二册）', '11.60')
第11页: ('http://img3m7.ddimg.cn/97/2/26913247-1_b_3.jpg', ' 情话微甜（共2册）', '29.00')
第8页: ('http://img3m6.ddimg.cn/76/26/29179336-1_b_6.jpg', ' 冰雪恋熊猫', '18.40')
第8页: ('http://img3m6.ddimg.cn/98/33/25076006-1_b_3.jpg', ' 原来你是这样的宋医生（全2册）', '24.90')
第8页: ('http://img3m4.ddimg.cn/81/5/28970154-1_b_3.jpg', ' 晚星遇骄阳', '19.00')
第8页: ('http://img3m4.ddimg.cn/45/21/26436114-1_b_8.jpg', ' 我的妄想症男友（芒果TV定制剧《她和他的恋爱剧本》原著小说；完颜洛绒、庄达菲领衔主演）', '19.90')
第8页: ('http://img3m8.ddimg.cn/73/30/29115478-1_b_11.jpg', ' 约等于无忧 签名本 落落继《不朽》《须臾》《千秋》《万象》《有生之年》之后，蛰伏六年力推全新文集', '29.80')
第5页: ('http://img3m2.ddimg.cn/29/26/28526582-1_b_14.jpg', ' 谢谢自己够勇敢 2.0（百万畅销书作家张皓宸，人气主持杨杨跨界打造够勇敢的走心故事集）', '35.50')
第11页: ('http://img3m3.ddimg.cn/3/17/25110363-1_b_5.jpg', ' 愿有勇气去热爱', '7.90')
第8页: ('http://img3m3.ddimg.cn/27/26/1604104353-1_b_5.jpg', ' 【包邮速发随机掉落签名版】我和我对家 PEPA作品 网络原名《我磕了对家X我的CP》 魅丽文化', '27.00')
第5页: ('http://img3m6.ddimg.cn/93/14/28994916-1_b_11.jpg', ' 我开动物园那些年Ⅱ', '24.90')
第8页: ('http://img3m2.ddimg.cn/21/18/1531037892-1_b_13.jpg', ' 【飞机盒定制版+透卡+手账+寄语印签卡+随书丰富赠品】草莓印(2册) 不止是颗菜 著 青春校园文学甜宠文都市言情小说', '41.50')
第11页: ('http://img3m9.ddimg.cn/2/33/29239949-1_b_3.jpg', ' 亲我时万籁俱寂', '27.40')
第8页: ('http://img3m7.ddimg.cn/9/2/28968597-1_b_3.jpg', ' 恰似寒光遇骄阳1+2+3完结（全集共6册）', '96.03')
